Date : 2024-01-18 01:06:00
Directory : /workspaces/RiseNote/config
Total : 95 files,  -706 codes, 0 comments, -137 blanks, all -843 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| ../app/views/layouts                                                              |          3 |        -51 |          0 |         -8 |        -59 |
| ../app/views/learning_records                                                     |          1 |         -5 |          0 |         -5 |        -10 |
| ../app/views/memos                                                                |          5 |       -117 |          0 |        -22 |       -139 |
| ../app/views/missions                                                             |          1 |        -25 |          0 |         -2 |        -27 |
| ../app/views/posts                                                                |          3 |        -67 |          0 |         -5 |        -72 |
| ../app/views/shared                                                               |          5 |       -123 |          0 |         -9 |       -132 |
| ../app/views/static_pages                                                         |          3 |        -52 |          0 |         -8 |        -60 |
| ../app/views/tags                                                                 |          1 |        -40 |          0 |         -4 |        -44 |
| ../app/views/users                                                                |          1 |        -24 |          0 |         -2 |        -26 |
| environments                                                                      |          3 |        172 |          0 |         68 |        240 |
| initializers                                                                      |          6 |        324 |          0 |         67 |        391 |
+-----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                          | language | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| /workspaces/RiseNote/app/channels/application_cable/channel.rb                    | Ruby     |         -4 |          0 |         -1 |         -5 |
| /workspaces/RiseNote/app/channels/application_cable/connection.rb                 | Ruby     |         -4 |          0 |         -1 |         -5 |
| /workspaces/RiseNote/app/controllers/application_controller.rb                    | Ruby     |        -20 |          0 |         -6 |        -26 |
| /workspaces/RiseNote/app/controllers/folders_controller.rb                        | Ruby     |        -47 |          0 |         -9 |        -56 |
| /workspaces/RiseNote/app/controllers/hello_controller.rb                          | Ruby     |         -4 |          0 |         -1 |         -5 |
| /workspaces/RiseNote/app/controllers/home_controller.rb                           | Ruby     |         -4 |          0 |         -1 |         -5 |
| /workspaces/RiseNote/app/controllers/learning_records_controller.rb               | Ruby     |        -14 |          0 |         -3 |        -17 |
| /workspaces/RiseNote/app/controllers/memos_controller.rb                          | Ruby     |        -63 |          0 |        -17 |        -80 |
| /workspaces/RiseNote/app/controllers/missions_controller.rb                       | Ruby     |         -7 |          0 |         -1 |         -8 |
| /workspaces/RiseNote/app/controllers/posts_controller.rb                          | Ruby     |        -26 |          0 |         -5 |        -31 |
| /workspaces/RiseNote/app/controllers/static_pages_controller.rb                   | Ruby     |         -8 |          0 |         -3 |        -11 |
| /workspaces/RiseNote/app/controllers/tags_controller.rb                           | Ruby     |        -24 |          0 |         -5 |        -29 |
| /workspaces/RiseNote/app/controllers/users/confirmations_controller.rb            | Ruby     |        -24 |          0 |         -7 |        -31 |
| /workspaces/RiseNote/app/controllers/users/omniauth_callbacks_controller.rb       | Ruby     |        -23 |          0 |         -8 |        -31 |
| /workspaces/RiseNote/app/controllers/users/passwords_controller.rb                | Ruby     |        -27 |          0 |         -8 |        -35 |
| /workspaces/RiseNote/app/controllers/users/registrations_controller.rb            | Ruby     |        -56 |          0 |        -15 |        -71 |
| /workspaces/RiseNote/app/controllers/users/sessions_controller.rb                 | Ruby     |        -26 |          0 |         -8 |        -34 |
| /workspaces/RiseNote/app/controllers/users/unlocks_controller.rb                  | Ruby     |        -24 |          0 |         -7 |        -31 |
| /workspaces/RiseNote/app/controllers/users_controller.rb                          | Ruby     |        -18 |          0 |         -5 |        -23 |
| /workspaces/RiseNote/app/helpers/application_helper.rb                            | Ruby     |         -2 |          0 |         -1 |         -3 |
| /workspaces/RiseNote/app/helpers/folders_helper.rb                                | Ruby     |         -2 |          0 |         -1 |         -3 |
| /workspaces/RiseNote/app/helpers/hello_codespaces_helper.rb                       | Ruby     |         -2 |          0 |         -1 |         -3 |
| /workspaces/RiseNote/app/helpers/home_helper.rb                                   | Ruby     |         -2 |          0 |         -1 |         -3 |
| /workspaces/RiseNote/app/helpers/learning_records_helper.rb                       | Ruby     |         -2 |          0 |         -1 |         -3 |
| /workspaces/RiseNote/app/helpers/memos_helper.rb                                  | Ruby     |         -2 |          0 |         -1 |         -3 |
| /workspaces/RiseNote/app/helpers/missions_helper.rb                               | Ruby     |         -2 |          0 |         -1 |         -3 |
| /workspaces/RiseNote/app/helpers/posts_helper.rb                                  | Ruby     |         -2 |          0 |         -1 |         -3 |
| /workspaces/RiseNote/app/helpers/static_pages_helper.rb                           | Ruby     |         -2 |          0 |         -1 |         -3 |
| /workspaces/RiseNote/app/helpers/tags_helper.rb                                   | Ruby     |         -2 |          0 |         -1 |         -3 |
| /workspaces/RiseNote/app/helpers/users_helper.rb                                  | Ruby     |         -2 |          0 |         -1 |         -3 |
| /workspaces/RiseNote/app/jobs/application_job.rb                                  | Ruby     |         -6 |          0 |         -2 |         -8 |
| /workspaces/RiseNote/app/mailers/application_mailer.rb                            | Ruby     |         -4 |          0 |         -1 |         -5 |
| /workspaces/RiseNote/app/models/application_record.rb                             | Ruby     |         -3 |          0 |         -1 |         -4 |
| /workspaces/RiseNote/app/models/folder.rb                                         | Ruby     |        -10 |          0 |         -2 |        -12 |
| /workspaces/RiseNote/app/models/memo.rb                                           | Ruby     |         -5 |          0 |         -2 |         -7 |
| /workspaces/RiseNote/app/models/mission.rb                                        | Ruby     |         -4 |          0 |         -1 |         -5 |
| /workspaces/RiseNote/app/models/post.rb                                           | Ruby     |         -6 |          0 |         -2 |         -8 |
| /workspaces/RiseNote/app/models/tag.rb                                            | Ruby     |         -3 |          0 |         -2 |         -5 |
| /workspaces/RiseNote/app/models/user.rb                                           | Ruby     |        -54 |          0 |        -21 |        -75 |
| /workspaces/RiseNote/app/models/user_mission.rb                                   | Ruby     |         -6 |          0 |         -2 |         -8 |
| /workspaces/RiseNote/app/views/devise/confirmations/new.html.erb                  | erb      |        -12 |          0 |         -5 |        -17 |
| /workspaces/RiseNote/app/views/devise/mailer/confirmation_instructions.html.erb   | erb      |         -3 |          0 |         -3 |         -6 |
| /workspaces/RiseNote/app/views/devise/mailer/email_changed.html.erb               | erb      |         -6 |          0 |         -2 |         -8 |
| /workspaces/RiseNote/app/views/devise/mailer/password_change.html.erb             | erb      |         -2 |          0 |         -2 |         -4 |
| /workspaces/RiseNote/app/views/devise/mailer/reset_password_instructions.html.erb | erb      |         -5 |          0 |         -4 |         -9 |
| /workspaces/RiseNote/app/views/devise/mailer/unlock_instructions.html.erb         | erb      |         -4 |          0 |         -4 |         -8 |
| /workspaces/RiseNote/app/views/devise/passwords/edit.html.erb                     | erb      |        -20 |          0 |         -6 |        -26 |
| /workspaces/RiseNote/app/views/devise/passwords/new.html.erb                      | erb      |        -12 |          0 |         -5 |        -17 |
| /workspaces/RiseNote/app/views/devise/registrations/edit.html.erb                 | erb      |        -30 |          0 |         -8 |        -38 |
| /workspaces/RiseNote/app/views/devise/registrations/new.html.erb                  | erb      |        -28 |          0 |         -8 |        -36 |
| /workspaces/RiseNote/app/views/devise/sessions/new.html.erb                       | erb      |        -22 |          0 |         -8 |        -30 |
| /workspaces/RiseNote/app/views/devise/shared/_error_messages.html.erb             | erb      |        -15 |          0 |         -1 |        -16 |
| /workspaces/RiseNote/app/views/devise/shared/_links.html.erb                      | erb      |        -20 |          0 |         -6 |        -26 |
| /workspaces/RiseNote/app/views/devise/unlocks/new.html.erb                        | erb      |        -12 |          0 |         -5 |        -17 |
| /workspaces/RiseNote/app/views/folders/index.html.erb                             | erb      |        -43 |          0 |         -7 |        -50 |
| /workspaces/RiseNote/app/views/hello/index.html.erb                               | erb      |         -1 |          0 |         -1 |         -2 |
| /workspaces/RiseNote/app/views/home/index.html.erb                                | erb      |        -22 |          0 |         -3 |        -25 |
| /workspaces/RiseNote/app/views/layouts/application.html.erb                       | erb      |        -38 |          0 |         -5 |        -43 |
| /workspaces/RiseNote/app/views/layouts/mailer.html.erb                            | erb      |        -12 |          0 |         -2 |        -14 |
| /workspaces/RiseNote/app/views/layouts/mailer.text.erb                            | erb      |         -1 |          0 |         -1 |         -2 |
| /workspaces/RiseNote/app/views/learning_records/show.html.erb                     | erb      |         -5 |          0 |         -5 |        -10 |
| /workspaces/RiseNote/app/views/memos/_form.html.erb                               | erb      |        -53 |          0 |        -11 |        -64 |
| /workspaces/RiseNote/app/views/memos/edit.html.erb                                | erb      |         -1 |          0 |          0 |         -1 |
| /workspaces/RiseNote/app/views/memos/index.html.erb                               | erb      |        -49 |          0 |         -8 |        -57 |
| /workspaces/RiseNote/app/views/memos/new.html.erb                                 | erb      |         -1 |          0 |          0 |         -1 |
| /workspaces/RiseNote/app/views/memos/show.html.erb                                | erb      |        -13 |          0 |         -3 |        -16 |
| /workspaces/RiseNote/app/views/missions/index.html.erb                            | erb      |        -25 |          0 |         -2 |        -27 |
| /workspaces/RiseNote/app/views/posts/index.html.erb                               | erb      |        -31 |          0 |         -1 |        -32 |
| /workspaces/RiseNote/app/views/posts/new.html.erb                                 | erb      |        -18 |          0 |         -3 |        -21 |
| /workspaces/RiseNote/app/views/posts/show.html.erb                                | erb      |        -18 |          0 |         -1 |        -19 |
| /workspaces/RiseNote/app/views/shared/_accounts.html.erb                          | erb      |         -5 |          0 |          0 |         -5 |
| /workspaces/RiseNote/app/views/shared/_contextMenu.html.erb                       | erb      |        -11 |          0 |         -1 |        -12 |
| /workspaces/RiseNote/app/views/shared/_missionList.html.erb                       | erb      |        -29 |          0 |         -2 |        -31 |
| /workspaces/RiseNote/app/views/shared/_mypage.html.erb                            | erb      |        -27 |          0 |         -1 |        -28 |
| /workspaces/RiseNote/app/views/shared/_navbar.html.erb                            | erb      |        -51 |          0 |         -5 |        -56 |
| /workspaces/RiseNote/app/views/static_pages/mypage.html.erb                       | erb      |        -23 |          0 |         -4 |        -27 |
| /workspaces/RiseNote/app/views/static_pages/registration_complete.html.erb        | erb      |         -8 |          0 |          0 |         -8 |
| /workspaces/RiseNote/app/views/static_pages/userInfo_select.html.erb              | erb      |        -21 |          0 |         -4 |        -25 |
| /workspaces/RiseNote/app/views/tags/index.html.erb                                | erb      |        -40 |          0 |         -4 |        -44 |
| /workspaces/RiseNote/app/views/users/index.html.erb                               | erb      |        -24 |          0 |         -2 |        -26 |
| /workspaces/RiseNote/config/application.rb                                        | Ruby     |         19 |          0 |          5 |         24 |
| /workspaces/RiseNote/config/boot.rb                                               | Ruby     |          3 |          0 |          2 |          5 |
| /workspaces/RiseNote/config/environment.rb                                        | Ruby     |          4 |          0 |          2 |          6 |
| /workspaces/RiseNote/config/environments/development.rb                           | Ruby     |         60 |          0 |         25 |         85 |
| /workspaces/RiseNote/config/environments/production.rb                            | Ruby     |         68 |          0 |         26 |         94 |
| /workspaces/RiseNote/config/environments/test.rb                                  | Ruby     |         44 |          0 |         17 |         61 |
| /workspaces/RiseNote/config/importmap.rb                                          | Ruby     |          9 |          0 |          2 |         11 |
| /workspaces/RiseNote/config/initializers/assets.rb                                | Ruby     |         10 |          0 |          3 |         13 |
| /workspaces/RiseNote/config/initializers/content_security_policy.rb               | Ruby     |         23 |          0 |          3 |         26 |
| /workspaces/RiseNote/config/initializers/devise.rb                                | Ruby     |        259 |          0 |         55 |        314 |
| /workspaces/RiseNote/config/initializers/filter_parameter_logging.rb              | Ruby     |          7 |          0 |          2 |          9 |
| /workspaces/RiseNote/config/initializers/inflections.rb                           | Ruby     |         14 |          0 |          3 |         17 |
| /workspaces/RiseNote/config/initializers/permissions_policy.rb                    | Ruby     |         11 |          0 |          1 |         12 |
| /workspaces/RiseNote/config/puma.rb                                               | Ruby     |         36 |          0 |          8 |         44 |
| /workspaces/RiseNote/config/routes.rb                                             | Ruby     |         34 |          0 |         10 |         44 |
| Total                                                                             |          |       -706 |          0 |       -137 |       -843 |
+-----------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
